Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 21:37:29.084,114376.1,0.002,BTCUSDT
2025-09-30 21:37:29.084,114376.0,0.001,BTCUSDT
2025-09-30 21:37:29.084,114375.9,0.213,BTCUSDT
2025-09-30 21:37:29.084,114375.7,0.016,BTCUSDT
2025-09-30 21:37:29.084,114375.6,0.066,BTCUSDT
2025-09-30 21:37:29.084,114375.5,0.002,BTCUSDT
2025-09-30 21:37:29.086,114375.2,0.001,BTCUSDT
2025-09-30 21:37:29.087,114375.0,0.002,BTCUSDT
2025-09-30 21:37:29.112,114374.9,0.002,BTCUSDT
2025-09-30 21:37:29.112,114374.9,0.001,BTCUSDT
2025-09-30 21:37:29.112,114374.9,0.001,BTCUSDT
2025-09-30 21:37:29.112,114374.9,0.001,BTCUSDT
2025-09-30 21:37:29.112,114374.7,0.043,BTCUSDT
2025-09-30 21:37:29.112,114374.1,0.002,BTCUSDT
2025-09-30 21:37:29.112,114374.1,0.003,BTCUSDT
2025-09-30 21:37:29.112,114374.0,0.006,BTCUSDT
2025-09-30 21:37:29.125,114373.8,0.007,BTCUSDT
2025-09-30 21:37:29.125,114373.8,0.092,BTCUSDT
2025-09-30 21:37:29.127,114373.8,0.15,BTCUSDT
2025-09-30 21:37:29.127,114373.8,0.001,BTCUSDT
2025-09-30 21:37:29.127,114373.7,0.001,BTCUSDT
2025-09-30 21:37:29.127,114373.7,0.001,BTCUSDT
2025-09-30 21:37:29.127,114373.5,0.002,BTCUSDT
2025-09-30 21:37:29.127,114373.4,0.06,BTCUSDT
2025-09-30 21:37:29.127,114372.8,0.002,BTCUSDT
2025-09-30 21:37:29.127,114372.8,0.001,BTCUSDT
2025-09-30 21:37:29.127,114372.6,0.001,BTCUSDT
2025-09-30 21:37:29.127,114372.6,0.006,BTCUSDT
2025-09-30 21:37:29.127,114372.3,0.002,BTCUSDT
2025-09-30 21:37:29.127,114372.2,0.002,BTCUSDT
2025-09-30 21:37:29.127,114372.2,0.298,BTCUSDT
2025-09-30 21:37:29.148,114372.3,0.077,BTCUSDT
2025-09-30 21:37:29.151,114372.2,0.007,BTCUSDT
2025-09-30 21:37:29.151,114372.2,0.011,BTCUSDT
2025-09-30 21:37:29.151,114372.2,0.011,BTCUSDT
2025-09-30 21:37:29.152,114372.2,0.011,BTCUSDT
2025-09-30 21:37:29.155,114372.2,0.003,BTCUSDT
2025-09-30 21:37:29.155,114372.2,0.005,BTCUSDT
2025-09-30 21:37:29.155,114372.2,0.008,BTCUSDT
2025-09-30 21:37:29.160,114372.3,0.03,BTCUSDT
2025-09-30 21:37:29.384,114372.3,0.087,BTCUSDT
2025-09-30 21:37:29.586,114372.2,0.001,BTCUSDT
2025-09-30 21:37:29.663,114372.3,0.002,BTCUSDT
2025-09-30 21:37:29.686,114372.3,0.099,BTCUSDT
2025-09-30 21:37:29.743,114372.2,0.01,BTCUSDT
2025-09-30 21:37:29.743,114372.2,0.002,BTCUSDT
2025-09-30 21:37:29.849,114372.2,0.012,BTCUSDT
2025-09-30 21:37:29.955,114372.3,0.002,BTCUSDT
2025-09-30 21:37:30.022,114372.2,0.038,BTCUSDT
2025-09-30 21:37:30.067,114372.3,0.01,BTCUSDT
2025-09-30 21:37:30.137,114372.3,0.077,BTCUSDT
2025-09-30 21:37:30.277,114372.3,0.021,BTCUSDT
2025-09-30 21:37:30.288,114372.2,0.02,BTCUSDT
2025-09-30 21:37:30.350,114372.2,0.102,BTCUSDT
2025-09-30 21:37:30.350,114372.2,0.091,BTCUSDT
2025-09-30 21:37:30.882,114372.2,0.01,BTCUSDT
2025-09-30 21:37:30.890,114372.3,0.051,BTCUSDT
2025-09-30 21:37:31.063,114372.3,0.077,BTCUSDT
2025-09-30 21:37:31.217,114372.3,0.001,BTCUSDT
2025-09-30 21:37:31.410,114372.2,0.003,BTCUSDT
2025-09-30 21:37:31.581,114372.2,0.002,BTCUSDT
2025-09-30 21:37:31.722,114372.3,0.011,BTCUSDT
2025-09-30 21:37:32.148,114372.3,0.076,BTCUSDT
2025-09-30 21:37:32.172,114372.2,0.001,BTCUSDT
2025-09-30 21:37:32.363,114372.3,0.004,BTCUSDT
2025-09-30 21:37:32.466,114372.3,0.003,BTCUSDT
2025-09-30 21:37:32.641,114372.3,0.009,BTCUSDT
2025-09-30 21:37:33.036,114372.2,0.242,BTCUSDT
2025-09-30 21:37:33.036,114372.2,0.174,BTCUSDT
2025-09-30 21:37:33.036,114372.2,0.055,BTCUSDT
2025-09-30 21:37:33.119,114372.3,0.076,BTCUSDT
2025-09-30 21:37:33.789,114372.3,0.1,BTCUSDT
2025-09-30 21:37:34.034,114372.3,0.019,BTCUSDT
2025-09-30 21:37:34.079,114372.2,0.004,BTCUSDT
